ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:32303,Renal,"lamina propria of prostatic urethra"
EMAPA:30109,Renal,"lamina propria of trigone"
EMAPA:28841,Renal,"lamina propria of ureter"
EMAPA:32310,Renal,"lamina propria of ventral pelvic urethra of female"
EMAPA:32294,Renal,"lamina propria of ventral pelvic urethra of male"
EMAPA:28527,Renal,"late tubule"
EMAPA:35510,Renal,"loop of Henle ascending limb"
EMAPA:35511,Renal,"loop of Henle descending limb"
EMAPA:35512,Renal,"loop of Henle distal straight tubule"
EMAPA:19280,Renal,"loop of Henle group"
EMAPA:29679,Renal,"loop of Henle of inner stripe of outer medulla"
EMAPA:29665,Renal,"loop of Henle of outer stripe of outer medulla"
EMAPA:35460,Renal,"loop of Henle of renal medulla"
EMAPA:35513,Renal,"loop of Henle thick limb"
EMAPA:35514,Renal,"loop of Henle thin descending limb"
EMAPA:35515,Renal,"loop of Henle thin limb"
EMAPA:28352,Renal,"loop of Henle, inner medullary portion"
EMAPA:28322,Renal,"loop of Henle, outer medullary portion"
EMAPA:27847,Renal,"lower limb of comma-shaped body"
EMAPA:27687,Renal,"lower limb of comma-shaped body"
EMAPA:28399,Renal,"macula densa"
EMAPA:18677,Renal,"major calyx"
EMAPA:29645,Renal,"male urethral gland"
EMAPA:28491,Renal,"mature nephron"
EMAPA:28236,Renal,"mature renal corpuscle"
EMAPA:27949,Renal,"maturing glomerular tuft"
EMAPA:28485,Renal,"maturing nephron"
EMAPA:27943,Renal,"maturing renal corpuscle"
EMAPA:27762,Renal,"medial segment of s-shaped body"
EMAPA:27877,Renal,"medial segment of s-shaped body"
EMAPA:29637,Renal,"median umbilical ligament"
EMAPA:28061,Renal,"medullary collecting duct"
EMAPA:31414,Renal,"medullary renal tubule"
EMAPA:35557,Renal,"medullary tubule"
EMAPA:31575,Renal,"mesenchymal layer of dorsal pelvic urethra"
EMAPA:31554,Renal,"mesenchymal layer of dorsal pelvic urethra of female"
EMAPA:31552,Renal,"mesenchymal layer of dorsal pelvic urethra of male"
EMAPA:31529,Renal,"mesenchymal layer of dorsal primitive bladder"
EMAPA:30907,Renal,"mesenchymal layer of pelvic urethra"
EMAPA:28765,Renal,"mesenchymal layer of pelvic urethra of female"
EMAPA:28703,Renal,"mesenchymal layer of pelvic urethra of male"
EMAPA:30948,Renal,"mesenchymal layer of penile urethra"
EMAPA:30934,Renal,"mesenchymal layer of phallic urethra of female"
EMAPA:28856,Renal,"mesenchymal layer of phallic urethra of male"
EMAPA:30876,Renal,"mesenchymal layer of primitive bladder"
EMAPA:30954,Renal,"mesenchymal layer of prostatic urethra"
EMAPA:30885,Renal,"mesenchymal layer of rest of urogenital sinus"
