ANO_PUBLIC_ID,POP_PERSPECTIVE_FK,ANO_COMPONENT_NAME
EMAPA:35120,"Whole mouse","alveolar wall"
EMAPA:35121,"Whole mouse","alveolus epithelium"
EMAPA:35122,"Whole mouse","alveolus smooth muscle"
EMAPA:16109,"Whole mouse",amnion
EMAPA:16110,"Whole mouse","amnion ectoderm"
EMAPA:16265,"Whole mouse","amnion mesenchyme"
EMAPA:16111,"Whole mouse","amnion mesoderm"
EMAPA:16079,"Whole mouse","amniotic cavity"
EMAPA:16076,"Whole mouse","amniotic fold"
EMAPA:16077,"Whole mouse","amniotic fold ectoderm"
EMAPA:16078,"Whole mouse","amniotic fold mesoderm"
EMAPA:35123,"Whole mouse","ampullary gland"
EMAPA:32672,"Whole mouse",amygdala
EMAPA:35124,"Whole mouse","amygdalohippocampal area"
EMAPA:35125,"Whole mouse","amygdalopirifrom transition area"
EMAPA:18256,"Whole mouse","anal canal"
EMAPA:18261,"Whole mouse","anal canal caudal part"
EMAPA:27219,"Whole mouse","anal canal caudal part epithelium"
EMAPA:18263,"Whole mouse","anal canal caudal part epithelium"
EMAPA:27221,"Whole mouse","anal canal caudal part gland"
EMAPA:27223,"Whole mouse","anal canal caudal part lamina propria"
EMAPA:18393,"Whole mouse","anal canal caudal part lumen"
EMAPA:18262,"Whole mouse","anal canal caudal part mesenchyme"
EMAPA:27215,"Whole mouse","anal canal caudal part mucosa"
EMAPA:27217,"Whole mouse","anal canal caudal part submucosa"
EMAPA:18264,"Whole mouse","anal canal caudal part vascular element"
EMAPA:32803,"Whole mouse","anal canal epithelium"
EMAPA:18835,"Whole mouse","anal canal epithelium"
EMAPA:27543,"Whole mouse","anal canal gland"
EMAPA:27547,"Whole mouse","anal canal lamina propria"
EMAPA:18836,"Whole mouse","anal canal lumen"
EMAPA:27531,"Whole mouse","anal canal mucosa"
EMAPA:18257,"Whole mouse","anal canal rostral part"
EMAPA:18259,"Whole mouse","anal canal rostral part epithelium"
EMAPA:27229,"Whole mouse","anal canal rostral part epithelium"
EMAPA:27233,"Whole mouse","anal canal rostral part gland"
EMAPA:27231,"Whole mouse","anal canal rostral part lamina propria"
EMAPA:18394,"Whole mouse","anal canal rostral part lumen"
EMAPA:18258,"Whole mouse","anal canal rostral part mesenchyme"
EMAPA:27225,"Whole mouse","anal canal rostral part mucosa"
EMAPA:27227,"Whole mouse","anal canal rostral part submucosa"
EMAPA:18260,"Whole mouse","anal canal rostral part vascular element"
EMAPA:27535,"Whole mouse","anal canal submucosa"
EMAPA:18837,"Whole mouse","anal canal vascular element"
EMAPA:16831,"Whole mouse","anal region"
EMAPA:32783,"Whole mouse",ankle
EMAPA:35126,"Whole mouse","ankle joint"
EMAPA:27786,"Whole mouse","anlage of loop of Henle"
EMAPA:31281,"Whole mouse","anlage of loop of Henle of cortical renal tubule"
EMAPA:19322,"Whole mouse","annular ligament"
EMAPA:32670,"Whole mouse","annulus fibrosus"
EMAPA:17744,"Whole mouse","anterior abdominal wall musculature"
EMAPA:17745,"Whole mouse","anterior abdominal wall skeletal muscle"
EMAPA:17746,"Whole mouse","anterior abdominal wall undifferentiated pre-muscle mass"
EMAPA:35127,"Whole mouse","anterior amygdaloid area"
