NPL_OID,NPL_PERSPECTIVE_FK,NPL_NODE_FK
266,Renal,12081
267,Renal,12088
268,Renal,12108
269,Renal,12117
270,Renal,12124
271,Renal,12131
272,Renal,12138
273,Renal,12146
274,Renal,12153
275,Renal,12161
276,Renal,12169
277,Renal,12177
278,Renal,12184
279,Renal,12191
280,Renal,12199
281,Renal,12207
282,Renal,12214
283,Renal,12221
284,Renal,12228
285,Renal,12235
286,Renal,12242
287,Renal,12250
288,Renal,12257
289,Renal,12264
290,Renal,12272
291,Renal,12280
292,Renal,12287
293,Renal,12295
294,Renal,12302
295,Renal,12306
296,Renal,12317
297,Renal,12322
298,Renal,12327
299,Renal,12341
300,Renal,12345
301,Renal,12349
302,Renal,12354
303,Renal,12358
304,Renal,12362
305,Renal,12367
306,Renal,12372
307,Renal,12376
308,Renal,12380
309,Renal,12383
310,Renal,12386
311,Renal,12389
312,Renal,12392
313,Renal,12397
314,Renal,12402
315,Renal,12406
316,Renal,12410
317,Renal,12414
318,Renal,12419
319,Renal,12424
320,Renal,12428
321,Renal,12433
322,Renal,12437
323,Renal,12441
324,Renal,12445
325,Renal,12449
326,Renal,12453
327,Renal,12460
328,Renal,12467
329,Renal,12473
330,Renal,12479
331,Renal,12483
332,Renal,12487
333,Renal,12493
334,Renal,12497
335,Renal,12515
336,Renal,12528
337,Renal,12539
338,Renal,12542
339,Renal,12545
340,Renal,12548
341,Renal,12551
342,Renal,12557
343,Renal,12563
344,Renal,12583
345,Renal,12600
346,Renal,12604
347,Renal,12608
348,Renal,12613
349,Renal,12622
350,Renal,12628
351,Renal,12640
352,Renal,12644
353,Renal,12649
354,Renal,12653
355,Renal,12657
356,Renal,12662
357,Renal,12667
358,Renal,12676
359,Renal,12715
360,Renal,12728
361,Renal,12734
362,Renal,12780
363,Renal,12794
364,Renal,12832
365,Renal,12839
366,Renal,12846
367,Renal,12853
368,Renal,12860
369,Renal,12867
370,Renal,12874
371,Renal,12881
372,Renal,12888
373,Renal,12902
374,Renal,12909
375,Renal,12916
376,Renal,12923
377,Renal,12930
378,Renal,12936
379,Renal,12942
380,Renal,12954
381,Renal,12958
382,Renal,12961
383,Renal,12976
384,Renal,12979
385,Renal,12983
386,Renal,12996
387,Renal,12999
388,Renal,13006
389,Renal,13014
390,Renal,13019
391,Renal,13026
392,Renal,13031
393,Renal,13060
394,Renal,13077
395,Renal,13083
396,Renal,13089
397,Renal,13098
398,Renal,13108
399,Renal,13112
400,Renal,13116
401,Renal,13120
402,Renal,13125
403,Renal,13133
404,Renal,13141
405,Renal,13145
406,Renal,13170
407,Renal,13177
408,Renal,13184
409,Renal,13228
410,Renal,13232
411,Renal,13236
412,Renal,13240
413,Renal,13247
414,Renal,13255
415,Renal,13262
416,Renal,13269
417,Renal,13976
418,Renal,26945
419,Renal,26955
420,Renal,26962
421,Renal,26967
422,Renal,26973
423,Renal,26988
